* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 4128 
v 0.111111 0.333333 0.824023
v 0.111111 0.367496 0.888889
v 0.0625203 0.333333 0.777778
v 0.111111 0.367496 0.888889
v 0 0.368226 0.777778
v 0 0.368226 0.777778
v 0.111111 0.367496 0.888889
v 0 0.387168 0.888889
v 0 0.387168 0.888889
v 0.111111 0.367496 0.888889
v 0 0.399692 1
v 0.111111 0.367496 0.888889
v 0.111111 0.423239 1
v 0 0.399692 1
v 0.111111 0.51498 0
v 0.0634389 0.555556 0.111111
v 0.111111 0.555556 0.0487747
v 0.111111 0.51498 0
v 0.0708723 0.444444 0
v 0.0634389 0.555556 0.111111
v 0.0708723 0.444444 0
v 0.072033 0.444444 0.111111
v 0.0634389 0.555556 0.111111
v 0 0.505577 0.222222
v 0 0.555556 0.190017
v 0.0634389 0.555556 0.111111
v 0 0.505577 0.222222
v 0.0634389 0.555556 0.111111
v 0.0557584 0.444444 0.222222
v 0.0557584 0.444444 0.222222
v 0.0634389 0.555556 0.111111
v 0.072033 0.444444 0.111111
v 0 0.555556 0.256904
v 0.111111 0.445945 0.333333
v 0.0630186 0.555556 0.333333
v 0 0.505577 0.222222
v 0.111111 0.445945 0.333333
v 0 0.555556 0.256904
v 0 0.505577 0.222222
v 0.111111 0.444444 0.331266
v 0.111111 0.445945 0.333333
v 0 0.505577 0.222222
v 0.0557584 0.444444 0.222222
v 0.111111 0.444444 0.331266
v 0.111111 0.445945 0.333333
v 0.111111 0.555556 0.380988
v 0.0630186 0.555556 0.333333
v 0 0.444444 0.593408
v 0.111111 0.483689 0.666667
v 0.111111 0.444444 0.581392
v 0 0.480599 0.666667
v 0.111111 0.483689 0.666667
v 0 0.444444 0.593408
v 0 0.480599 0.666667
v 0 0.51474 0.777778
v 0.111111 0.483689 0.666667
v 0.111111 0.483689 0.666667
v 0 0.51474 0.777778
v 0.111111 0.492668 0.777778
v 0.111111 0.492668 0.777778
v 0 0.51474 0.777778
v 0 0.555556 0.812778
v 0.111111 0.555556 0.85073
v 0.111111 0.492668 0.777778
v 0 0.555556 0.812778
v 0.07151 0.666667 0.111111
v 0 0.595874 0
v 0.0586026 0.666667 0
v 0.07151 0.666667 0.111111
v 0 0.608728 0.111111
v 0 0.595874 0
v 0.0634389 0.555556 0.111111
v 0.111111 0.617182 0.111111
v 0.111111 0.555556 0.0487747
v 0.111111 0.617182 0.111111
v 0.0634389 0.555556 0.111111
v 0 0.555556 0.190017
v 0.111111 0.617182 0.111111
v 0 0.555556 0.190017
v 0.111111 0.666667 0.181492
v 0 0.608728 0.111111
v 0.07151 0.666667 0.111111
v 0 0.555556 0.190017
v 0.07151 0.666667 0.111111
v 0.111111 0.666667 0.181492
v 0 0.555556 0.190017
v 0 0.666667 0.249906
v 0 0.555556 0.256904
v 0.0630186 0.555556 0.333333
v 0.108914 0.666667 0.333333
v 0 0.666667 0.249906
v 0.0630186 0.555556 0.333333
v 0.0630186 0.555556 0.333333
v 0.111111 0.666667 0.335781
v 0.108914 0.666667 0.333333
v 0.111111 0.555556 0.380988
v 0.111111 0.666667 0.335781
v 0.0630186 0.555556 0.333333
v 0 0.555556 0.812778
v 0.111111 0.586171 0.888889
v 0.111111 0.555556 0.85073
v 0 0.63377 0.888889
v 0.111111 0.586171 0.888889
v 0 0.555556 0.812778
v 0 0.63377 0.888889
v 0 0.606833 1
v 0.111111 0.586171 0.888889
v 0.111111 0.586171 0.888889
v 0 0.606833 1
v 0.111111 0.600204 1
v 0 0.777778 0.048234
v 0.0586026 0.666667 0
v 0 0.735861 0
v 0 0.777778 0.048234
v 0.0570804 0.777778 0.111111
v 0.0586026 0.666667 0
v 0.0570804 0.777778 0.111111
v 0.07151 0.666667 0.111111
v 0.0586026 0.666667 0
v 0.111111 0.710336 0.222222
v 0.111111 0.666667 0.181492
v 0.07151 0.666667 0.111111
v 0.111111 0.710336 0.222222
v 0.07151 0.666667 0.111111
v 0.0475791 0.777778 0.222222
v 0.0475791 0.777778 0.222222
v 0.07151 0.666667 0.111111
v 0.0570804 0.777778 0.111111
v 0 0.777778 0.245217
v 0 0.666667 0.249906
v 0.111111 0.710336 0.222222
v 0 0.777778 0.245217
v 0.111111 0.710336 0.222222
v 0.0475791 0.777778 0.222222
v 0 0.666667 0.249906
v 0.108914 0.666667 0.333333
v 0.111111 0.710336 0.222222
v 0.111111 0.777778 0.2945
v 0.111111 0.710336 0.222222
v 0.0935896 0.777778 0.333333
v 0.108914 0.666667 0.333333
v 0.0935896 0.777778 0.333333
v 0.111111 0.710336 0.222222
v 0.108914 0.666667 0.333333
v 0.111111 0.777778 0.353871
v 0.0935896 0.777778 0.333333
v 0.111111 0.666667 0.335781
v 0.111111 0.777778 0.353871
v 0.108914 0.666667 0.333333
v 0.111111 0.771636 0.666667
v 0.105887 0.777778 0.666667
v 0.111111 0.777778 0.659459
v 0.111111 0.771779 0.777778
v 0.105887 0.777778 0.666667
v 0.111111 0.771636 0.666667
v 0.10678 0.777778 0.777778
v 0.105887 0.777778 0.666667
v 0.111111 0.771779 0.777778
v 0.111111 0.771779 0.777778
v 0.111111 0.777778 0.782108
v 0.10678 0.777778 0.777778
v 0 0.777778 0.048234
v 0 0.835883 0.111111
v 0.0570804 0.777778 0.111111
v 0 0.835883 0.111111
v 0 0.888889 0.190194
v 0.111111 0.888889 0.18954
v 0 0.835883 0.111111
v 0.111111 0.888889 0.18954
v 0.0475791 0.777778 0.222222
v 0 0.835883 0.111111
v 0.0475791 0.777778 0.222222
v 0.0570804 0.777778 0.111111
v 0.111111 0.830626 0.222222
v 0.0475791 0.777778 0.222222
v 0.111111 0.888889 0.18954
v 0.0935896 0.777778 0.333333
v 0.111111 0.789674 0.333333
v 0.111111 0.777778 0.2945
v 0 0.777778 0.245217
v 0.0475791 0.777778 0.222222
v 0.111111 0.888889 0.244161
v 0 0.777778 0.245217
v 0.111111 0.888889 0.244161
v 0 0.888889 0.241856
v 0.111111 0.888889 0.244161
